,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Tot per 1M,Deaths per 1M,Tests,Tests per 1M,Pop
0,World,530469195,301235,6308131,413,501052540,385377,23108524,37690,68054,809.3,0,0,0
1,USA,85570755,0,1030775,0,81937406,0,2602574,2446,255678,3080,1024850819,3062171,334681143
2,India,43147530,0,524539,0,42607177,0,15814,698,30694,373,848411356,603543,1405717517
3,Brazil,30880512,0,666248,0,29917271,0,296993,8318,143348,3093,63776166,296051,215422967
4,France,29434605,0,148084,0,28742055,0,544466,1173,449060,2259,271490188,4141902,65547224
5,Germany,26239641,0,139115,0,25086300,69500,1014226,741,311296,1650,122332384,1451299,84291641
6,UK,22276975,0,178313,0,21885147,0,213515,188,324918,2601,522526476,7621244,68561834
7,Russia,18315292,4619,378784,84,17719596,6064,216912,2300,125402,2593,273400000,1871923,146053041
8,S. Korea,18053287,16567,24103,40,17540936,20567,488248,207,351554,469,15804065,307755,51352797
9,Italy,17333299,0,166358,0,16411953,0,754988,262,287483,2759,220238476,3652781,60293362
10,Turkey,15067077,0,98944,0,14964709,0,3424,975,175078,1150,162078198,1883338,86058989
11,Spain,12280345,0,106105,0,11679931,0,494309,339,262462,2268,471036328,10067225,46789095
12,Vietnam,10714008,0,43078,0,9422085,0,1248845,169,108224,435,85814917,866831,98998407
13,Argentina,9178795,0,128825,0,8895999,0,153971,300,199618,2802,35716069,776744,45981758
14,Japan,8737532,31542,30458,40,8388328,34376,318746,90,69487,242,52061870,414034,125742849
15,Netherlands,8080032,0,22314,0,8020155,1896,37563,38,469586,1297,21107399,1226695,17206720
16,Iran,7231099,0,141296,0,7041125,0,48678,609,84053,1642,52090424,605489,86030342
17,Australia,7156555,38954,8374,39,6776072,0,372109,99,274612,321,71656929,2749627,26060597
18,Colombia,6103455,0,139854,0,5934231,0,29370,342,117576,2694,34922533,672742,51910721
19,Indonesia,6053894,224,156565,9,5894380,277,2949,2771,21698,561,98479250,352966,279005090
20,Poland,6006547,0,116299,0,5335354,0,554894,981,159038,3079,36313054,961475,37768066
21,Mexico,5759773,0,324768,0,5054809,0,380196,4798,43801,2470,15950212,121294,131499993
22,Ukraine,5011433,0,108538,0,N/A,N/A,N/A,177,115909,2510,19521252,451505,43235984
23,Malaysia,4499057,0,35656,0,4438212,0,25189,27,135710,1076,59748814,1802275,33151880
24,Thailand,4434511,4837,29913,29,4358396,5198,46202,1496,63231,427,17270775,246261,70131893
25,Austria,4243293,0,18632,0,4184997,0,39664,43,466102,2047,187227485,20565890,9103787
26,Belgium,4147568,0,31727,0,4018654,14251,97187,93,354942,2715,34042001,2913255,11685211
27,Israel,4130879,0,10839,0,4103149,0,16891,150,442942,1162,41373364,4436346,9326000
28,Portugal,4066674,0,22583,0,N/A,N/A,N/A,61,401038,2227,42483884,4189577,10140375
29,South Africa,3944845,0,101092,0,3793500,0,50253,192,64962,1665,25164138,414390,60725807
30,Czechia,3919344,245,40280,0,3877513,618,1551,8,364704,3748,55390724,5154241,10746630
31,Canada,3860681,0,40925,0,3525256,0,294500,354,100619,1067,61834912,1611573,38369302
32,Philippines,3689656,0,60455,0,3626878,0,2323,480,32842,538,30098345,267910,112345093
33,Chile,3665862,0,57851,0,3491476,0,116535,129,188698,2978,38283970,1970639,19427186
34,Switzerland,3650661,0,13948,0,3590249,3875,46464,45,416050,1590,21054092,2399444,8774572
35,Peru,3577907,0,213145,0,N/A,N/A,N/A,184,105723,6298,30546879,902625,33842273
36,Greece,3436046,0,29756,0,3359563,0,46727,141,332738,2881,82238808,7963788,10326594
37,DPRK,3270850,100470,69,1,3037690,139190,233091,0,125836,3,0,0,25992917
38,Denmark,2982572,0,6343,0,2968765,0,7464,11,511515,1088,127426765,21853866,5830857
39,Romania,2908018,427,65676,7,N/A,N/A,N/A,101,153097,3458,23065296,1214310,18994567
40,Sweden,2507948,0,18944,0,2481578,453,7426,7,245429,1854,18592451,1819470,10218610
41,Iraq,2327665,0,25218,0,2301422,0,1025,8,55510,601,18573748,442942,41932644
42,Serbia,2016266,0,16076,0,1993905,0,6285,10,232538,1854,9681461,1116573,8670689
43,Bangladesh,1953356,0,29130,0,1901795,0,22431,1259,11641,174,14103302,84049,167798916
44,Hungary,1917777,0,46507,0,1841731,0,29539,18,199480,4837,11394556,1185220,9613872
45,Slovakia,1789201,164,20093,2,1766488,248,2620,23,327413,3677,7143863,1307286,5464653
46,Taiwan,1735067,94855,1784,126,311252,80374,1422031,0,72602,75,17786274,744243,23898465
47,Jordan,1694216,0,14048,0,1678941,0,1227,124,162982,1351,16670254,1603665,10395098
48,Georgia,1655221,0,16811,0,1637293,0,1117,0,416444,4230,16920079,4256990,3974658
49,Ireland,1561632,0,7271,0,1534158,0,20203,24,309705,1442,12210682,2421641,5042317
50,Pakistan,1530143,79,30379,0,1496123,0,3641,70,6681,133,28523722,124547,229019650
51,Norway,1432443,0,3141,0,N/A,N/A,N/A,20,260369,571,11002430,1999868,5501579
52,Kazakhstan,1305723,8,13661,0,1291885,0,177,24,67998,711,11575012,602791,19202349
53,Singapore,1286216,0,1382,0,1203030,0,81804,5,216624,233,23877882,4021510,5937541
54,Hong Kong,1211338,0,9374,0,N/A,N/A,N/A,5,159130,1231,44972952,5907969,7612252
55,Morocco,1167325,0,16076,0,1149981,0,1268,293,30931,426,11237010,297751,37739677
56,Bulgaria,1164358,0,37121,0,1048116,0,79121,38,169995,5420,9986160,1457971,6849355
57,New Zealand,1136708,6959,1087,30,1086392,7871,49229,0,227246,217,71423774,14278758,5002100
58,Croatia,1135549,0,15978,0,1116632,0,2939,5,279878,3938,4871108,1200578,4057304
59,Cuba,1105136,0,8529,0,1096336,0,271,23,97683,754,13842131,1223504,11313516
60,Lebanon,1098899,0,10423,0,1086106,0,2370,186,162378,1540,4795578,708615,6767534
61,Finland,1092193,0,4522,0,N/A,N/A,N/A,21,196543,814,10911396,1963530,5557031
62,Lithuania,1062178,106,9141,2,1035823,140,17214,8,400769,3449,9974237,3763363,2650352
63,Tunisia,1042362,0,28632,0,N/A,N/A,N/A,29,86482,2376,4618974,383222,12052988
64,Slovenia,1024219,292,6634,0,1012311,589,5274,6,492536,3190,2665032,1281586,2079479
65,Belarus,982867,0,6978,0,N/A,N/A,N/A,0,104079,739,13220483,1399966,9443433
66,Nepal,979113,8,11952,0,967037,13,124,0,32496,397,5695885,189045,30129853
67,Uruguay,916388,0,7227,0,901555,0,7606,18,262084,2067,6114822,1748819,3496544
68,Bolivia,908137,179,21946,0,867643,362,18548,220,75837,1833,2705422,225927,11974776
69,UAE,906236,0,2302,0,889943,0,13991,0,89577,228,161440895,15957598,10116867
70,Costa Rica,891038,0,8495,0,854426,0,28117,45,171939,1639,4575910,882992,5182277
71,Ecuador,876009,0,35622,0,N/A,N/A,N/A,759,48263,1963,2470170,136092,18150751
72,Guatemala,858629,0,18047,0,837460,0,3122,5,46303,973,4635998,250006,18543551
73,Panama,843697,0,8239,0,804601,0,30857,16,189873,1854,6190049,1393063,4443481
74,Latvia,828077,188,5823,3,819901,227,2353,7,448409,3153,7253692,3927923,1846699
75,Azerbaijan,792714,0,9710,0,782957,0,47,0,76870,942,6874348,666611,10312376
76,Saudi Arabia,765305,0,9138,0,749704,0,6463,83,21353,255,42434847,1183965,35841311
77,Sri Lanka,663800,0,16513,0,646945,0,342,0,30755,765,6486117,300514,21583399
78,Paraguay,650283,0,18885,0,624673,0,6725,4,89097,2587,2633737,360856,7298577
79,Kuwait,632781,0,2555,0,629695,0,531,4,144133,582,8098920,1844748,4390258
80,Myanmar,613260,0,19434,0,592244,0,1582,0,11130,353,8168040,148237,55101073
81,Bahrain,583130,0,1485,0,577770,0,3875,3,321530,819,9830332,5420315,1813609
82,Palestine,582363,0,5356,0,576879,0,128,17,109341,1006,3078533,578009,5326101
83,Dominican Republic,582193,0,4377,0,576632,0,1184,6,52668,396,3334468,301651,11054074
84,Estonia,576047,0,2561,0,518188,0,55298,6,433697,1928,3368271,2535917,1328226
85,Venezuela,523491,0,5719,0,516691,0,1081,230,18509,202,3359014,118763,28283279
